,pm25
237157,15.2
238714,9.7
1033708,6.9
1056634,9.9
926797,8.0
96586,12.2
800164,14.7
37881,6.5
49883,8.9
1086186,4.7
1141773,10.3
491528,15.0
155586,20.7
503002,4.1
678614,11.6
1128534,11.5
35442,2.5
984264,2.9
327879,8.3
39141,2.9
349780,13.3
120676,6.4
1001520,25.2
1022048,10.9
1041198,1.1
867277,14.8
706313,3.7
308306,15.3
355840,17.7
698167,5.9
1018869,0.6
1000297,11.6
261643,12.7
1142793,8.6
1084445,5.6
1063426,7.0
772061,12.0
40230,3.9
206849,8.1
1022328,8.4
277038,13.1
365501,8.6
784706,9.6
415211,11.8
324528,6.9
294442,20.4
1104176,8.0
115831,10.7
1054299,7.6
14652,6.5
193377,11.1
1085681,10.5
1112254,3.9
122121,6.3
1118089,8.9
1138424,9.8
31770,1.9
1068878,6.3
1156785,10.2
1141252,9.6
95553,10.7
6156,6.3
450354,7.2
325358,10.4
860727,6.5
1066655,9.0
920228,7.3
494178,10.0
1120236,15.8
1042365,10.0
891238,26.7
1044488,6.2
266469,11.9
3024,7.6
1019995,7.0
1119249,4.5
1115600,7.2
957291,12.1
730580,8.3
990283,7.8
1165102,9.6
858583,9.5
352453,6.5
904792,2.6
241478,7.1
1150609,1.9
1011976,7.0
569969,10.2
999890,16.5
1084914,9.9
246225,11.0
771909,5.5
632784,7.9
526373,8.5
4536,6.1
17955,5.1
913248,11.1
729994,11.0
41526,5.4
1085917,12.2
369800,11.0
1013811,13.0
1058129,7.0
722455,5.5
17694,3.9
936094,12.0
1165754,12.5
570702,7.4
61306,8.9
675952,11.7
166172,10.3
1136170,17.8
756008,16.4
828093,6.9
954456,10.1
907267,9.9
631245,5.5
1145487,6.3
1037901,7.8
896305,3.9
1001945,6.7
449072,5.3
648355,16.0
175905,11.0
1104245,18.5
220112,11.4
572681,15.6
2529,17.3
715644,3.6
1144939,18.7
459811,8.2
75128,5.9
657911,3.6
1045628,12.8
1031733,7.2
1150284,2.5
654757,9.6
1052432,9.0
1008712,8.8
1068808,8.9
24453,3.3
1128910,6.6
832741,18.9
116847,17.3
1047622,14.1
101181,15.3
310857,13.6
1042999,9.8
1061662,18.6
1051294,12.1
1086822,5.8
87096,10.8
136337,10.7
1061617,17.0
1056729,6.2
1078383,8.3
127530,11.9
799253,8.6
938307,15.7
827893,4.7
460776,9.0
251875,5.5
107186,11.9
101459,17.7
936297,14.1
38178,4.9
87820,20.2
1095617,7.1
1001159,4.6
702338,10.7
41619,6.1
175706,12.5
800758,9.5
1135055,8.8
207393,10.3
1028482,8.8
1132800,13.1
1124267,10.4
136431,6.7
458971,9.3
836107,11.1
931311,4.7
313230,10.9
1079744,8.9
1079590,16.7
258559,14.0
210800,13.5
1077675,3.0
976655,4.3
215144,7.5
506330,11.0
1165046,7.5
1138927,3.2
978288,4.2
2376,5.9
12951,6.2
299964,16.1
791368,19.4
1136734,5.7
559617,8.2
999263,16.2
989713,6.4
512061,6.9
289052,6.4
998618,6.4
1017233,9.0
379778,13.5
124697,6.7
