,ozone
23163,37.00000000000001
22733,28.0
26745,27.0
22448,27.0
4354,32.0
19885,25.0
24846,39.0
17615,26.0
21346,37.00000000000001
18434,27.0
22061,31.0
29384,21.0
6954,38.0
7832,70.0
1403,25.0
12972,27.0
11078,62.0
29264,34.0
6525,8.0
5107,31.0
7235,32.0
27134,21.0
30884,38.0
1520,39.0
16532,38.0
22781,40.99999999999999
822,15.0
19494,24.0
15335,47.0
24195,30.0
26932,10.0
20112,27.0
24322,16.0
28335,36.00000000000001
25404,40.99999999999999
10965,52.00000000000001
22878,53.0
33189,44.00000000000001
11250,30.0
11278,53.0
12366,36.00000000000001
30183,61.0
31050,37.00000000000001
17372,38.0
18056,34.0
21936,40.99999999999999
24073,22.0
9559,37.00000000000001
6172,37.00000000000001
13670,28.0
31019,24.0
10793,22.0
19630,65.0
27749,34.0
14456,43.0
9631,21.0
21165,28.0
17113,35.0
3797,21.0
24572,40.99999999999999
13453,29.0
28530,21.0
24371,61.0
19964,26.0
4011,32.0
383,44.00000000000001
32170,31.0
27540,25.0
29437,35.0
5159,40.99999999999999
4951,46.0
27909,40.0
8369,39.0
11314,34.0
20447,46.0
28207,19.0
10594,20.0
8574,18.0
23165,26.0
3815,46.0
33065,49.0
11451,29.0
28594,61.0
24581,46.0
33269,63.0
24037,20.0
17157,40.99999999999999
18800,42.0
17739,23.0
14869,30.0
8464,43.0
13672,31.0
26590,31.0
21751,43.0
23020,21.0
15797,35.0
30714,40.99999999999999
1857,54.00000000000001
19904,17.0
6789,60.0
8633,26.0
5717,44.00000000000001
30721,23.0
19796,37.00000000000001
19063,40.99999999999999
14725,32.0
17543,22.0
31383,16.0
21442,51.0
20042,21.0
16327,37.00000000000001
22101,50.0
9536,21.0
14370,35.0
1488,51.0
35047,44.00000000000001
29335,42.0
17992,19.0
12653,22.0
2695,33.0
23269,39.0
4039,35.0
33600,27.0
12075,52.00000000000001
4060,36.00000000000001
26520,37.00000000000001
14046,55.0
22217,47.0
15908,19.0
23248,16.0
5929,67.0
12850,32.0
11034,68.0
25960,23.0
421,34.0
35027,24.0
8382,10.0
11601,24.0
24403,55.0
11405,62.0
10396,21.0
16717,17.0
21461,35.0
28897,48.0
13235,39.0
29695,35.0
3436,51.0
29374,20.0
23122,27.0
33635,47.0
5907,61.0
1916,39.0
18731,36.00000000000001
18810,31.0
15598,43.0
4099,45.0
29496,29.0
33312,36.00000000000001
29087,25.0
312,27.0
2614,50.0
7930,18.0
12517,14.0
29460,21.0
2869,38.0
6994,24.0
11378,57.0
17897,25.0
11762,24.0
26461,38.0
30143,48.0
18972,21.0
14583,36.00000000000001
592,45.0
33509,23.0
9422,37.00000000000001
29634,53.0
11981,55.99999999999999
18030,42.0
29433,37.00000000000001
14750,48.0
12124,43.0
20805,42.0
2184,76.0
7600,29.0
29850,37.00000000000001
5349,63.0
2934,68.0
11029,50.0
7418,20.0
34276,39.0
8848,40.0
28360,23.0
4638,31.0
1780,17.0
31769,23.0
24140,29.0
9461,19.0
507,76.0
6508,26.0
26773,43.0
1933,10.0
13754,25.0
8767,52.00000000000001
27237,32.0
10109,43.0
2252,46.0
23377,44.00000000000001
22983,40.0
4464,45.0
4712,54.00000000000001
20360,21.0
30754,47.0
31053,27.0
34741,43.0
11057,25.0
6246,31.0
31112,43.0
28625,28.0
21831,51.0
25913,34.0
15630,24.0
33986,55.99999999999999
14242,34.0
20650,42.0
7963,40.0
28727,34.0
6735,60.0
12252,43.0
25673,43.0
22441,37.00000000000001
25945,31.0
28948,36.00000000000001
20872,46.0
31353,53.0
28641,51.0
11126,32.0
11311,24.0
27346,28.0
24445,23.0
26995,34.0
9355,32.0
23806,50.0
23563,30.0
4206,57.0
20795,31.0
239,59.00000000000001
620,40.99999999999999
377,62.0
393,62.0
24538,31.0
15200,38.0
29034,47.0
19168,37.00000000000001
27790,46.0
2803,61.0
27970,16.0
21196,43.0
5809,78.0
9805,16.0
18704,26.0
18994,15.0
33513,23.0
16853,23.0
33188,34.0
31163,44.00000000000001
19448,40.99999999999999
28663,32.0
18820,32.0
13461,64.0
16742,36.00000000000001
30046,45.0
24395,65.0
26523,68.0
20916,40.0
15668,25.0
7901,19.0
431,40.0
5147,46.0
18938,26.0
33207,30.0
10187,42.0
33101,44.00000000000001
13873,57.99999999999999
22330,31.0
12431,40.0
3156,57.0
7213,26.0
2204,28.0
24963,18.0
27129,36.00000000000001
13457,49.0
23064,28.0
4181,62.0
22667,29.0
25070,21.0
21327,32.0
11600,28.0
13177,78.0
19225,39.0
24563,48.0
29399,39.0
7564,27.0
2074,54.00000000000001
33,28.0
8497,22.0
28038,37.00000000000001
14297,33.0
24232,30.0
11185,34.0
31291,59.00000000000001
11393,53.0
32709,49.0
22761,52.00000000000001
25969,19.0
25976,23.0
29126,40.0
12783,34.0
34324,46.0
26404,45.0
15879,38.0
13988,54.00000000000001
7071,30.0
13744,43.0
3903,46.0
253,26.0
33236,50.0
133,34.0
17597,39.0
7732,5.0
9869,36.00000000000001
11099,59.00000000000001
6466,24.0
2186,57.0
56,44.00000000000001
1386,50.0
17929,24.0
33218,27.0
20183,21.0
28245,30.0
11342,80.0
28564,52.00000000000001
15718,71.0
15368,43.0
3173,37.00000000000001
6648,40.0
32477,32.0
4503,40.0
13038,45.0
25423,31.0
31242,44.00000000000001
1614,37.00000000000001
28495,16.0
19782,30.0
6362,24.0
4064,42.0
288,25.0
22390,13.0
9994,57.99999999999999
31082,39.0
2915,35.0
28452,25.0
1550,45.0
25220,31.0
6919,44.00000000000001
7173,38.0
27689,53.0
3775,44.00000000000001
9158,28.0
12892,20.0
3219,55.99999999999999
2612,51.0
748,19.0
34778,26.0
25227,29.0
11069,24.0
33429,60.0
3703,27.0
34531,40.99999999999999
22714,40.0
30825,48.0
7748,18.0
15149,45.0
34432,21.0
20305,57.0
11501,33.0
14310,31.0
33555,37.00000000000001
32105,27.0
12162,46.0
27439,18.0
24043,19.0
806,18.0
883,35.0
11391,42.0
32165,22.0
11042,49.0
7111,36.00000000000001
9324,23.0
25034,27.0
28797,31.0
12992,30.0
