,no2
482983,30.3
833579,6.4
646249,27.9
494466,25.1
910470,18.2
390761,20.9
187528,8.4
197723,15.5
360586,7.6
385704,20.9
228319,24.4
508993,32.8
193597,18.4
229437,39.0
345042,41.5
514707,12.5
1006686,9.0
37551,36.0
1010394,14.0
895541,17.1
252074,16.8
486977,17.9
729607,6.8
494983,19.6
535361,19.5
148137,14.8
13392,0.4
477796,38.3
436250,5.1
1046527,15.0
889135,10.5
523527,38.6
994991,25.9
320883,4.3
113499,20.6
645013,38.4
222957,14.1
10935,1.8
19017,5.2
1045689,11.9
535861,11.0
506038,4.7
81184,29.0
590022,17.3
879080,20.0
227795,3.1
36441,5.0
469517,15.4
387615,16.8
12357,1.5
504243,3.4
616846,12.2
511513,16.8
899129,11.6
1006488,4.5
485890,0.5
75119,6.0
331271,17.8
339662,34.9
555118,29.0
828723,21.2
143310,5.2
759625,12.5
778930,10.0
514866,42.5
138243,17.9
446126,11.2
100243,54.5
796830,6.8
404851,23.3
26937,36.5
385294,21.8
782741,6.0
761780,8.0
882364,18.2
672184,12.7
4995,3.9
113835,7.5
731117,8.3
431776,6.9
155678,12.5
704648,31.7
369701,4.5
634015,24.0
459926,9.4
11547,29.0
65805,13.0
377363,35.5
182868,13.2
21744,9.0
6795,9.7
229018,41.2
1041284,5.4
926087,35.3
501986,20.4
703627,21.5
1014437,27.7
760749,9.1
922855,17.3
834181,34.8
729098,2.0
1044573,21.8
220189,21.1
799464,16.3
32697,6.4
178092,12.9
100594,30.6
762747,22.3
769481,28.0
990145,42.2
993029,18.8
474949,6.4
445379,15.2
1046663,4.4
109795,15.0
873176,28.7
621995,5.8
781355,8.0
529929,38.2
816291,12.6
377816,1.3
764795,21.0
507003,15.9
259196,3.5
189214,22.7
907232,21.3
375153,10.4
444392,45.0
119811,17.0
1030539,8.1
10800,2.2
300408,16.1
816392,11.0
448411,18.6
330630,12.3
635685,28.3
291632,20.4
41745,18.0
421079,15.2
52224,6.0
342715,8.4
1032267,6.0
320482,8.6
1044,2.0
527292,33.7
17271,35.5
372485,12.1
1022208,9.4
109960,10.6
792778,15.8
861130,8.8
580906,41.0
28188,1.3
734389,6.5
73556,15.0
723502,19.5
80865,11.0
686842,6.3
101791,9.7
485488,4.4
951821,10.3
665047,35.0
511521,13.5
238152,16.5
822881,8.9
438682,7.8
257133,11.3
763768,5.1
27738,1.6
665907,17.1
64179,2.0
650373,13.9
800061,2.4
487481,19.0
980119,26.0
376720,5.4
620631,22.0
803026,18.7
800695,9.5
762958,23.8
588756,10.9
666075,19.3
461649,24.8
416492,5.7
685896,13.4
282674,19.1
675992,17.3
428439,31.4
557167,2.6
331473,48.8
95916,14.0
969573,3.6
279111,7.8
434666,3.5
182729,28.6
155118,25.1
155940,24.2
760342,13.4
739361,20.5
337184,36.2
178304,17.0
1035461,26.1
433081,17.0
192081,0.9
298354,46.7
632099,18.8
192395,6.2
230733,42.0
737493,19.4
512166,26.3
894524,3.9
868275,17.2
1003903,13.6
189972,7.4
909743,1.2
459391,20.6
628148,11.4
65779,3.0
856496,5.6
962584,10.7
141903,28.7
710242,20.6
993155,44.8
300032,16.9
875527,15.5
937777,23.2
704102,29.1
938684,22.3
602734,7.3
110560,14.4
381524,10.8
409259,24.0
27810,2.9
665694,14.0
935096,7.0
945079,24.8
197534,4.8
823905,4.0
13833,10.8
491912,11.2
824375,4.1
46797,34.0
144568,22.1
719264,11.2
941911,24.6
134613,4.1
783556,21.0
16155,1.0
933451,12.8
36738,6.0
519879,25.2
217090,7.5
916445,11.6
494130,9.5
665841,12.3
692782,4.3
726851,3.7
1037891,26.2
296483,10.4
253109,9.4
155043,23.3
909777,5.6
729775,13.8
17937,5.1
233796,32.2
315793,5.7
383716,12.7
473458,50.6
924527,8.6
569055,17.3
81416,10.0
231879,29.4
317858,35.1
578014,24.5
384632,18.1
76720,18.0
423269,15.9
129051,27.1
34272,4.5
822919,10.6
185398,10.2
325219,17.7
132681,12.6
926213,19.8
451615,5.4
261920,28.3
532551,9.6
940984,9.2
93509,33.0
166229,13.8
418840,18.9
708907,21.4
378849,2.0
448720,8.7
367409,32.9
863067,15.0
433781,4.7
1024008,42.5
212472,15.6
132123,7.6
27009,5.4
120178,13.4
674459,11.2
156971,23.8
434860,7.1
774115,8.0
300123,19.6
518793,31.7
417697,25.4
472117,31.8
880839,1.7
343810,13.9
404323,18.3
948562,25.8
936802,41.9
819723,5.5
852183,14.4
899667,17.7
16020,7.7
66346,32.0
788485,39.0
458843,11.4
808700,14.8
323475,4.4
291179,4.5
214163,12.8
596388,17.8
946602,36.5
638640,49.5
476695,29.6
398752,18.1
716794,39.5
1006841,21.1
683616,9.5
359379,11.9
817807,13.6
972851,1.9
837172,11.3
396287,38.4
849364,40.0
831583,5.7
297081,3.4
1018968,16.2
911066,2.9
7614,2.6
453039,22.6
821504,9.9
5103,9.9
173067,15.1
209265,28.9
24696,9.0
1007379,2.8
859810,33.0
386388,31.3
940912,10.2
367920,10.4
857567,18.3
115452,33.2
97389,36.4
591092,8.1
667235,18.3
397004,20.9
223726,20.2
80192,35.0
248403,20.5
82954,7.0
199107,7.8
763863,8.2
712256,28.9
716344,19.7
