"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WV03"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-23","7.38"," 0638"," 0637","0.91","0.0","0.0","67","79","55",,"  220","  220","0.0","19.9","30.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-24","8.72"," 0921"," 0915","0.00","0.0","0.0","57","67","46","    0","  360","  350","0.0","17.0","21.9",,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-25","7.16"," 0924"," 0032","0.27","0.0","0.0","47","57","36",,"  340","  300","0.0","17.0","23.0",,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-26","2.91"," 1325"," 1226","0.00","0.0","0.0","49","65","32",,"  210","  160","0.0","10.1","14.1","    1",,,,,,,,,,,,,,,,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-27","4.92"," 1514"," 1513","0.00","0.0","0.0","57","76","37",,"  140","  130","0.0","14.1","17.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-28","3.13"," 1659"," 1659","0.00","0.0","0.0","61","77","45","    0","  110","  110","0.0","13.0","14.1","    1",,,,,,,,,,"    1",,,,,,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-29","3.80"," 2122"," 2121","0.00","0.0","0.0","64","77","50","    0","   20","   10","0.0","15.0","21.0","    1","    1",,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-30","6.49"," 0928"," 1122","0.00","0.0","0.0","56","69","42","    0","   50","   10","0.0","15.0","21.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-12-01","6.93"," 1629"," 1620","0.00","0.0","0.0","56","73","38","    0","  110","  100","0.0","17.0","21.0","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-12-02","11.41"," 1324"," 1114","0.42","0.0","0.0","67","78","55",,"  140","  130","0.0","23.9","31.1","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-12-03","12.30"," 2226"," 1347","0.03","0.0","0.0","73","80","65",,"  130","  140","0.0","21.9","31.1","    1",,,,,,,,,,"    1",,,"    1",,,,
